"IF YOU HAVE A COURSE THAT YOU CAN NOT FIND THE SYLLABUS FOR, PLEASE ADD IT TO THE OTHER SHEET",,,,,,,,,,,,,,,,,,,,
,BLUE - UD,ORANGE - UT,RED - UWM,,,,,,,,,,,,,,,,,
,FEATURES,,,,,,,,,,,,OUTPUTS (% Of Students in Each Bucket),,,,,,"""Average Grade""","*the average grade in the class is estimated by assuming A to be a 95, B is an 85, C is 75, D is a 65, and F is a 30"
Course Code,# HWs,HW Weight,# Project Assignments,Project Weight,# Final exam,Final Weight,# Other Exams,Exam Weight,# Quizzes,Quiz Weight,Attend/Misc Weight,TOTAL SUM (CHECK THAT IT'S 1),Class F,Class D,Class C,Class B,Class A,TOTAL SUM % (CHECK THAT IT'S 100%),,
ECE313 - 23F - A. MOKHTARI,13,0.25,0,0.00,1,0.35,2,0.40,0,0.00,0.00,1.00,6.06,18.18,24.24,18.18,33.34,100.00,78.94,
ECE313 - 23F - A. CUEVAS,14,0.15,0,0.00,1,0.25,2,0.45,42,0.10,0.05,1.00,6.45,0.00,22.58,48.39,22.58,100.00,81.45,
ME338 - 14F,6,0.15,5,0.30,0,0.00,3,0.45,26,0.10,0.00,1.00,0.00,0.00,0.95,23.81,75.24,100.00,92.43,
ME344 - 16S,17,0.15,0,0.00,1,0.30,2,0.50,0,0.00,0.05,1.00,0.00,6.67,46.66,10.00,36.67,100.00,82.67,
ME374C - 16S Combustion Engine Processes,8,0.30,0,0.00,1,0.30,2,0.40,0,0.00,0.00,1.00,0.00,3.33,16.67,26.67,53.33,100.00,88.00,
ME334 - 16S - Y. ZHENG,7,0.10,0,0.00,1,0.45,2,0.40,0,0.00,0.05,1.00,4.00,4.00,14.00,38.00,40.00,100.00,84.60,
ME354 - 16S,12,0.65,3,0.15,0,0.00,0,0.00,29,0.20,0.00,1.00,0.00,0.00,0.00,9.52,90.48,100.00,94.05,
ME344 - 16S - Chen Sec 18080/18085,7,0.15,0,0.00,1,0.35,0,0.00,2,0.50,0.00,1.00,1.27,0.00,20.25,46.84,31.65,100.00,85.44,
ME344 - 16S - Moon Sec 18075,12,0.15,0,0.00,1,0.30,2,0.50,0,0.00,0.05,1.00,0.00,6.67,46.67,10.00,36.67,100.00,82.67,
ME330 - 16F,12,0.20,0,0.00,1,0.40,2,0.40,0,0.00,0.00,1.00,1.83,1.83,30.28,38.53,27.53,100.00,83.35,
ME339 - 16F - Vaibhav Bahadur,9,0.10,0,0.00,1,0.40,2,0.50,0,0.00,0.00,1.00,0.00,0.00,8.43,42.17,49.40,100.00,89.10,
ME339 - 16F - Alex Heltzel,9,0.10,0,0.00,1,0.40,2,0.50,0,0.00,0.00,1.00,2.25,1.12,8.99,51.69,35.95,100.00,86.23,
ME340 - 16F - Wei Li,7,0.10,0,0.00,1,0.30,2,0.50,5,0.10,0.00,1.00,0.00,1.41,23.94,35.21,39.44,100.00,86.27,
ME353 - 17F - Sec. 18220,10,0.20,1,0.10,1,0.30,2,0.35,0,0.00,0.05,1.00,0.00,8.33,8.33,58.34,25.00,100.00,85.00,
ME353 - 17F - Sec. 18225,10,0.20,1,0.10,1,0.30,2,0.35,0,0.00,0.05,1.00,0.00,5.00,10.00,30.00,55.00,100.00,88.50,
ME343 - 17F ,9,0.08,1,0.40,0,0.00,2,0.45,12,0.08,0.00,1.00,0.00,0.00,9.09,50.00,40.91,100.00,88.18,
ME310T - 18S Sec 16755,13,0.20,0,0.00,1,0.35,3,0.45,0,0.00,0.00,1.00,2.80,4.90,11.89,20.28,60.14,100.00,87.31,
ME314D - 18S Sagers Sec 16780/85/90/95,0,0.00,0,0.00,1,0.30,2,0.50,12,0.20,0.00,1.00,1.11,3.33,24.44,45.56,25.56,100.00,83.83,
ME314D - 18S Tao Sec 16760/65/70/75,0,0.00,0,0.00,1,0.35,2,0.50,12,0.15,0.00,1.00,0.00,0.00,9.09,50.91,40.00,100.00,88.09,
ME316T - 18S Hall Sec 16805/10/15/20,11,0.10,0,0.00,1,0.30,3,0.50,9,0.10,0.00,1.00,0.76,4.58,35.88,25.95,32.82,100.00,83.36,
ME359 - 18F Bourell Sec 18340,10,0.15,0,0.00,1,0.30,2,0.40,0,0.00,0.15,1.00,0.00,3.13,31.25,46.88,18.75,100.00,83.13,
ME344 - 18F Moon Sec 18215/20,12,0.15,0,0.00,1,0.35,2,0.50,0,0.00,0.00,1.00,0.00,1.64,39.34,29.51,29.51,100.00,83.69,
ME344 - 18F Haberman 18225,0,0.00,0,0.00,1,0.30,2,0.50,10,0.10,0.10,1.00,0.00,0.00,2.70,48.65,48.65,100.00,89.59,
